username,id,score,time,title,url,text,platform,vectorId,combined,n_tokens
gigel82,32422522,193,1660202383,Mindustry – Open-Source Game,https://mindustrygame.github.io/,"
  A sandbox tower-defense game. 
",Hacker News,61326502,"Title: Mindustry – Open-Source Game; Content: 
  A sandbox tower-defense game. 
",25
0x41534446,32423813,32,1660214530,Fully Dockerized Linux kernel debugging environment,https://github.com/0xricksanchez/like-dbg,"
        Fully dockerized Linux kernel debugging environment
       
        Use Git or checkout with SVN using the web URL.
     
      Work fast with our official CLI.
       .
     
    If nothing happens,   and try again.
   
    If nothing happens,   and try again.
   
    If nothing happens,   and try again.
   Your codespace will open once ready. There was a problem preparing your codespace, please try again. This repository aims at automating the boring steps when trying to set up a Linux kernel debugging environment.
All steps from building the kernel to running the kernel and attaching the debugger are transparently done inside docker containers to keep system requirements minimal.
Currently there's a dedicated docker container for every step: Everything is configured in the  
So",Hacker News,93095468,"Title: Fully Dockerized Linux kernel debugging environment; Content: 
        Fully dockerized Linux kernel debugging environment
       
        Use Git or checkout with SVN using the web URL.
     
      Work fast with our official CLI.
       .
     
    If nothing happens,   and try again.
   
    If nothing happens,   and try again.
   
    If nothing happens,   and try again.
   Your codespace will open once ready. There was a problem preparing your codespace, please try again. This repository aims at automating the boring steps when trying to set up a Linux kernel debugging environment.
All steps from building the kernel to running the kernel and attaching the debugger are transparently done inside docker containers to keep system requirements minimal.
Currently there's a dedicated docker container for every step: Everything is configured in the  
So",232
modinfo,32408163,207,1660110380,Freeciv – open-source Civilization clone,http://www.freeciv.org/,"Stable Version 3.0.3 released on 5th Aug 2022 Join forum to meet the users of Freeciv New developers are welcome to contribute to the project © The Freeciv Project 1996- . 
              Freeciv is free and open source software. Freeciv is released under the  , while the Freeciv-web client is released under the  .",Hacker News,47196654,"Title: Freeciv – open-source Civilization clone; Content: Stable Version 3.0.3 released on 5th Aug 2022 Join forum to meet the users of Freeciv New developers are welcome to contribute to the project © The Freeciv Project 1996- . 
              Freeciv is free and open source software. Freeciv is released under the  , while the Freeciv-web client is released under the  .",104
bumbledraven,32421350,206,1660189674,Retirement of Amazon MOBI eBook file format,https://www.microsoftpressstore.com/promotions/product-announcement-retirement-of-amazon-mobi-ebook-142421,"ANNOUNCEMENT MOBI eBook files are going away soon.  The MOBI format will no longer be available for download as of August 18, 2022 for any past purchase of a multi-format eBook here on the Microsoft Press Store website. Amazon has announced the retirement of its proprietary MOBI file format for eBooks, and a transition to the EPUB format for use on Kindle devices and apps. As of August 2022, you will no longer be able to send the MOBI file format to Kindles or the Kindle app using the Send to Kindle service. The MOBI file format no longer supports the newest document features, while the EPUB format is updated and accepted by Kindle devices.  The EPUB and PDF links will remain. Purchases of future multi-format eBook files on microsoftpressstore.com after August 18 will include the EPUB and ",Hacker News,82561471,"Title: Retirement of Amazon MOBI eBook file format; Content: ANNOUNCEMENT MOBI eBook files are going away soon.  The MOBI format will no longer be available for download as of August 18, 2022 for any past purchase of a multi-format eBook here on the Microsoft Press Store website. Amazon has announced the retirement of its proprietary MOBI file format for eBooks, and a transition to the EPUB format for use on Kindle devices and apps. As of August 2022, you will no longer be able to send the MOBI file format to Kindles or the Kindle app using the Send to Kindle service. The MOBI file format no longer supports the newest document features, while the EPUB format is updated and accepted by Kindle devices.  The EPUB and PDF links will remain. Purchases of future multi-format eBook files on microsoftpressstore.com after August 18 will include the EPUB and ",192
edouard-harris,32424368,1,1660219247,SharpestMinds (YC W18) Is Hiring a Software Developer,https://public.3.basecamp.com/p/gR8WJgPHPUq5r51MyWSVAX5T,,Hacker News,75941271,Title: SharpestMinds (YC W18) Is Hiring a Software Developer; Content: ,21
jacquesm,32423178,41,1660208169,Using satellites to uncover large methane emissions from landfills,https://www.science.org/doi/10.1126/sciadv.abn9683,Please enable Cookies and reload the page. This process is automatic. Your browser will redirect to your requested content shortly. Please allow up to 5 seconds… Redirecting…,Hacker News,25913747,Title: Using satellites to uncover large methane emissions from landfills; Content: Please enable Cookies and reload the page. This process is automatic. Your browser will redirect to your requested content shortly. Please allow up to 5 seconds… Redirecting…,50
gmemstr,32423080,43,1660207279,Hetzner Price Adjustment,https://docs.hetzner.com/general/others/price-adjustment/,"Please activate JavaScript in your browser and refresh this page. This platform will only perform optimally once JavaScript is activated. Energy prices from suppliers have risen drastically since the end of last year. This phenomenon has been affecting people and industries across the globe. And since prices are not likely to drop or stabilize in the near future, we are forced to increase the prices of many of our products by approximately 10%. In addition, we also unfortunately need to implement a serious increase to the electricity/air conditioning rates for our colocation products. A large number of our products in all locations are affected. The electricity/air conditioning flat rates for our colocation products are also affected. The products that do not directly use electricity are n",Hacker News,10851603,"Title: Hetzner Price Adjustment; Content: Please activate JavaScript in your browser and refresh this page. This platform will only perform optimally once JavaScript is activated. Energy prices from suppliers have risen drastically since the end of last year. This phenomenon has been affecting people and industries across the globe. And since prices are not likely to drop or stabilize in the near future, we are forced to increase the prices of many of our products by approximately 10%. In addition, we also unfortunately need to implement a serious increase to the electricity/air conditioning rates for our colocation products. A large number of our products in all locations are affected. The electricity/air conditioning flat rates for our colocation products are also affected. The products that do not directly use electricity are n",154
JoachimS,32424055,30,1660216775,IPFS and Their Gateways,https://daniel.haxx.se/blog/2022/08/10/ipfs-and-their-gateways/,"The   (IPFS) is according to the Wikipedia description: “a protocol, hypermedia and file sharing peer-to-peer network for storing and sharing data in a distributed file system.”. It works a little like bittorrent and you typically access content on it using a very long hash in an   URL. Like this: I guess partly because IPFS is a rather new  protocol not widely supported by many clients yet, people came up with the concept of IPFS “gateways”. (Others might have called it a proxy, because that is what it really is.) This   is an HTTP server that runs on a machine that also knows how to speak and access IPFS. By sending the right HTTP request to the gateway, that includes the IPFS hash you are interested in, the gateway can respond with the contents from the IPFS hash. This way, you just nee",Hacker News,64252295,"Title: IPFS and Their Gateways; Content: The   (IPFS) is according to the Wikipedia description: “a protocol, hypermedia and file sharing peer-to-peer network for storing and sharing data in a distributed file system.”. It works a little like bittorrent and you typically access content on it using a very long hash in an   URL. Like this: I guess partly because IPFS is a rather new  protocol not widely supported by many clients yet, people came up with the concept of IPFS “gateways”. (Others might have called it a proxy, because that is what it really is.) This   is an HTTP server that runs on a machine that also knows how to speak and access IPFS. By sending the right HTTP request to the gateway, that includes the IPFS hash you are interested in, the gateway can respond with the contents from the IPFS hash. This way, you just nee",202
alexzeitler,32409842,83,1660126977,How to present to executives (2021),https://lethain.com/present-to-executives/,"Have you presented to company executives about a key engineering initiative, walking into the room excited and leaving defeated? Maybe you only made it to your second slide before unrelated questions derailed the discussion. Maybe you worked through your entire presentation only to have folks say, “Great job,” and leave without any useful debate. Afterward, you’re not quite sure what happened, but you know it didn’t go well. Early in your career, you probably won’t interact with company executives frequently. Sure, if it’s a small enough company, you might, but it isn’t the norm. As you get further into your career, though, increasingly, your impact will be constrained by your ability to influence executives effectively. While   is a prerequisite to influencing executives, there are also s",Hacker News,58010741,"Title: How to present to executives (2021); Content: Have you presented to company executives about a key engineering initiative, walking into the room excited and leaving defeated? Maybe you only made it to your second slide before unrelated questions derailed the discussion. Maybe you worked through your entire presentation only to have folks say, “Great job,” and leave without any useful debate. Afterward, you’re not quite sure what happened, but you know it didn’t go well. Early in your career, you probably won’t interact with company executives frequently. Sure, if it’s a small enough company, you might, but it isn’t the norm. As you get further into your career, though, increasingly, your impact will be constrained by your ability to influence executives effectively. While   is a prerequisite to influencing executives, there are also s",181
frumpish,32415960,28,1660154100,Themes in academic literature: prejudice and social justice,https://www.nas.org/academic-questions/35/2/themes-in-academic-literature-prejudice-and-social-justice#.YvPaE05MI_Q.twitter,"holds a Ph.D. in Computer Science from the Autonomous University of Madrid and is a widely published author in that field. Prof. Rozado has been teaching at New Zealand’s Otago Polytechnic since 2015;   His research interests are computational content analysis and accessibility software. Rozado last appeared in these pages with “Prejudice and Victimization Themes in New York Times Discourse: A Chronological Analysis,” in spring 2020. Previous scholarly literature has documented a marked increase of words denoting prejudice and social justice themes in news media content.  This work investigates the prevalence dynamics of such terms in academic papers published in all fields of knowledge. We use the Semantic Scholar Open Research Corpus (SSORC) containing, as of 2020, over 175 million publi",Hacker News,81841,"Title: Themes in academic literature: prejudice and social justice; Content: holds a Ph.D. in Computer Science from the Autonomous University of Madrid and is a widely published author in that field. Prof. Rozado has been teaching at New Zealand’s Otago Polytechnic since 2015;   His research interests are computational content analysis and accessibility software. Rozado last appeared in these pages with “Prejudice and Victimization Themes in New York Times Discourse: A Chronological Analysis,” in spring 2020. Previous scholarly literature has documented a marked increase of words denoting prejudice and social justice themes in news media content.  This work investigates the prevalence dynamics of such terms in academic papers published in all fields of knowledge. We use the Semantic Scholar Open Research Corpus (SSORC) containing, as of 2020, over 175 million publi",178
