category_group,category,name,description,new,type
Creative & Design Tools,2D Design & Prototyping,2D Design & Prototyping Tools,"Open‐source tools for creating, prototyping, and collaborating on 2D designs and user interfaces.",,horizontal
Programming Languages & Frameworks,Graphics & Rendering,2D Canvas & Rendering Engines,"JavaScript libraries for high-performance 2D drawing—leveraging Canvas and WebGL—for games, data visualization, and interactive animations.",,horizontal
Programming Languages & Frameworks,Graphics Libraries,3D Graphics Libraries,"Libraries for creating, rendering, and managing 3D graphics and visualizations in web applications using technologies like WebGL, WebGPU, and related APIs.",,horizontal
Creative & Design Tools,3D Content Creation,3D Modeling & Animation Tools,"Open‐source software for 3D modeling, animation, rendering, and computer graphics content creation.",,horizontal
Operating Systems & Virtualization,Hardware Interface Libraries,ACPI Implementations,"An open‐source, operating system–independent implementation of the Advanced Configuration and Power Interface (ACPI) specification that enables standardized power management and hardware configuration support.",,horizontal
Artificial Intelligence & Machine Learning,Trusted AI & ML Ops,AI Trust & Ethics Toolkits,"Tools for ensuring fairness, transparency, and ethical behavior in AI systems.",,horizontal
Developer Tools,API Tooling,API Code Generators,"Tools that automatically produce API client libraries, server stubs, and documentation from standard specifications (e.g. OpenAPI), expediting integration.",,horizontal
Developer Tools,API Development & Testing,All-in-One API Testing Suites,"Interactive solutions to build, test, and debug APIs (REST, GraphQL, gRPC, etc.) with comprehensive tooling for validation, mocking, and collaboration.",,horizontal
Developer Tools,API Documentation,API Documentation Tools,"Tools for generating interactive, dynamic documentation for RESTful APIs based on specifications such as Swagger/OpenAPI.",,horizontal
Developer Tools,API Integration,API Integration Tools,"Tools that offer a unified interface for connecting to multiple external APIs by handling authentication flows (OAuth1/2), token management, and request routing to simplify integration work for developers.",,horizontal
Developer Tools,API Specifications,API Specifications,Repositories hosting machine‐readable API definitions and specifications (e.g. in OpenAPI/Swagger format) used to describe and validate RESTful services.,,horizontal
Developer Tools,API Debugging & Validation,API Validation Tools,"Tools and libraries for runtime validation and debugging of API usage, helping developers catch errors and enforce correct usage patterns.",,horizontal
Programming Languages & Frameworks,UI Libraries,React Component Libraries,"Pre-built sets of React components—emphasizing accessibility (WAI-ARIA) and modular UI building blocks such as grids, forms, and charts.",,horizontal
Privacy Tools,Content Filtering,Ad Blocking Filter Lists,"Curated repositories of filter lists used by ad blockers to block ads, trackers, and malicious content.",,horizontal
Developer Tools,Admin Interfaces,Admin Panels & Dashboard Templates,"Pre-built resources and frameworks for quickly creating admin dashboards, control panels, and back-office interfaces for web applications.",,horizontal
Computer Science Fundamentals,Algorithms & Data Structures,Algorithms & Data Structures,Implementations of classic algorithms and data structures for educational reference and learning in various programming languages.,,horizontal
Application Definition and Development,Package Managers,Linux Distribution Package Repos,"Build scripts and port definitions maintained by various Linux distributions—facilitating software packaging, updates, and community contributions.",,horizontal
Data Infrastructure & Analytics,Data Lakes & Warehouses,Analytical Data Warehouses,Optimized databases for complex queries and business intelligence.,,horizontal
Programming Languages & Frameworks,Mobile Development Kits,Android Custom Frameworks,"Tools and libraries customizing native Android experiences, from system-level launchers to specialized UI and hardware integration frameworks.",,horizontal
Programming Languages & Frameworks,UI Libraries,Angular UI Component Libraries,"Pre-built UI component libraries specifically built for Angular applications, offering a comprehensive suite of UI components including datagrids, charts, and more.",,horizontal
